"cluster","h11_trip_rate","h11_density","h11_top_cell","h12_trip_rate","h12_density","h12_top_cell","h13_trip_rate","h13_density","h13_top_cell","h14_trip_rate","h14_density","h14_top_cell","h15_trip_rate","h15_density","h15_top_cell","h16_trip_rate","h16_density","h16_top_cell","h17_trip_rate","h17_density","h17_top_cell","h18_trip_rate","h18_density","h18_top_cell","h19_trip_rate","h19_density","h19_top_cell","h20_trip_rate","h20_density","h20_top_cell","h21_trip_rate","h21_density","h21_top_cell","h22_trip_rate","h22_density","h22_top_cell"
0,146.166666666667,"high","27:77",148.85,"high","27:77",141.916666666667,"high","28:73",140.566666666667,"high","28:73",145.783333333333,"high","28:73",142.383333333333,"high","28:73",155.75,"high","28:73",174.366666666667,"high","28:73",170.033333333333,"high","28:73",173.516666666667,"high","28:73",184,"high","28:73",189.416666666667,"high","28:73"
1,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
2,0.6,"median","50:90",0.916666666666667,"median","50:90",1.11666666666667,"median","50:90",0.916666666666667,"median","50:90",0.916666666666667,"median","50:90",0.883333333333333,"median","50:90",1.3,"median","50:90",1.33333333333333,"median","50:90",1.03333333333333,"median","50:90",0.866666666666667,"median","50:90",0.733333333333333,"median","50:90",0.833333333333333,"median","50:90"
3,0.05,"low","33:30",0.0333333333333333,"low","33:30",0.0833333333333333,"low","37:30",0.1,"low","35:31",0.216666666666667,"low","37:30",0.1,"low","37:30",0.133333333333333,"low","37:30",0.166666666666667,"low","37:30",0.0833333333333333,"low","34:29",0.0833333333333333,"low","33:31",0.0333333333333333,"low","36:30",0.1,"low","32:31"
4,0,"low","",0,"low","",0.0166666666666667,"low","16:111",0,"low","",0,"low","",0,"low","",0,"low","",0.0166666666666667,"low","11:112",0,"low","",0,"low","",0,"low","",0,"low",""
5,1902.98333333333,"high","25:68",1906.93333333333,"high","25:68",1798.76666666667,"high","25:68",1698.85,"high","25:68",1647.63333333333,"high","25:68",1576.38333333333,"high","25:68",1640.85,"high","25:68",1757.98333333333,"high","25:68",1736,"high","25:68",1658.91666666667,"high","25:68",1642.75,"high","25:68",1454.13333333333,"high","25:68"
6,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
7,0.0333333333333333,"low","24:95",0,"low","",0,"low","",0,"low","",0.05,"low","14:110",0.0166666666666667,"low","25:97",0.0166666666666667,"low","22:97",0,"low","",0.0333333333333333,"low","24:95",0.0166666666666667,"low","24:95",0.0166666666666667,"low","14:105",0.0333333333333333,"low","12:109"
8,0.333333333333333,"median","61:51",0.3,"median","62:51",0.35,"median","61:51",0.383333333333333,"median","59:45",0.266666666666667,"median","61:50",0.333333333333333,"median","61:51",0.316666666666667,"median","62:50",0.316666666666667,"median","61:51",0.383333333333333,"median","61:51",0.233333333333333,"median","61:51",0.216666666666667,"median","61:51",0.25,"median","61:51"
9,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
10,104.4,"high","41:50",107.416666666667,"high","41:50",108.5,"high","41:50",116.433333333333,"high","41:50",119.05,"high","41:50",122.466666666667,"high","41:50",132.6,"high","41:50",136.866666666667,"high","41:50",139.583333333333,"high","41:50",137.8,"high","41:50",139.333333333333,"high","41:50",139.633333333333,"high","41:50"
11,0,"low","",0,"low","",0.0166666666666667,"low","58:91",0.0166666666666667,"low","66:82",0,"low","",0.0166666666666667,"low","67:81",0.0166666666666667,"low","62:86",0.05,"low","61:83",0,"low","",0,"low","",0,"low","",0,"low",""
12,5.5,"median","71:60",6.06666666666667,"median","60:54",6.75,"median","71:60",8.45,"median","71:60",8.68333333333333,"median","71:60",10.3833333333333,"median","71:60",10.75,"median","71:60",10.4666666666667,"median","71:60",10.3666666666667,"median","71:60",10.25,"median","60:54",11.3666666666667,"median","71:60",11.9666666666667,"median","71:60"
13,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
14,31.5833333333333,"high","22:51",29.85,"high","22:52",29.55,"high","22:52",30.0166666666667,"high","22:47",30.0666666666667,"high","22:52",28.2166666666667,"high","22:52",29.25,"high","22:52",30.2333333333333,"high","22:52",29.2333333333333,"high","22:51",26.75,"high","22:47",26.9,"high","22:47",27.5666666666667,"high","22:52"
