"cluster","h13_trip_rate","h13_density","h13_top_cell","h14_trip_rate","h14_density","h14_top_cell","h15_trip_rate","h15_density","h15_top_cell","h16_trip_rate","h16_density","h16_top_cell","h17_trip_rate","h17_density","h17_top_cell","h18_trip_rate","h18_density","h18_top_cell","h19_trip_rate","h19_density","h19_top_cell","h20_trip_rate","h20_density","h20_top_cell","h21_trip_rate","h21_density","h21_top_cell","h22_trip_rate","h22_density","h22_top_cell","h23_trip_rate","h23_density","h23_top_cell","h0_trip_rate","h0_density","h0_top_cell"
0,79.6833333333333,"high","27:77",80.2833333333333,"high","27:77",74.3166666666667,"high","27:77",74.55,"high","27:77",95.0833333333333,"high","27:77",142.116666666667,"high","27:77",180.216666666667,"high","27:77",202.216666666667,"high","27:77",235.55,"high","28:73",271.716666666667,"high","28:73",268.55,"high","28:73",218.366666666667,"high","28:73"
1,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
2,1.2,"median","50:90",1.16666666666667,"median","50:90",1.35,"median","50:90",1.58333333333333,"median","50:90",2,"median","50:90",2.55,"median","50:90",2.4,"median","50:90",1.6,"median","50:90",1.5,"median","50:90",1.01666666666667,"median","50:90",0.9,"median","50:90",0.716666666666667,"median","50:90"
3,0.0833333333333333,"low","38:29",0.05,"low","31:28",0.116666666666667,"low","29:27",0.116666666666667,"low","28:26",0.05,"low","35:31",0.05,"low","37:30",0.15,"low","32:29",0.0833333333333333,"low","31:27",0.0333333333333333,"low","32:31",0.0333333333333333,"low","37:29",0.05,"low","29:27",0,"low",""
4,0,"low","",0.0333333333333333,"low","14:112",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0.0166666666666667,"low","17:115",0,"low","",0.0166666666666667,"low","16:114",0,"low","",0,"low",""
5,1208.46666666667,"high","26:64",1251.13333333333,"high","27:63",1184.85,"high","27:63",1134.36666666667,"high","27:63",1390.98333333333,"high","27:63",1774.3,"high","27:63",2116.55,"high","25:68",2308.2,"high","27:64",2415.88333333333,"high","27:64",2251.86666666667,"high","25:68",1795.38333333333,"high","25:68",1200.1,"high","25:68"
6,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
7,0.133333333333333,"low","25:99",0.0666666666666667,"low","19:108",0.1,"low","12:107",0.05,"low","20:106",0.0333333333333333,"low","30:92",0.1,"low","23:95",0.0666666666666667,"low","21:98",0.0333333333333333,"low","25:98",0.0666666666666667,"low","21:97",0.0166666666666667,"low","26:99",0.05,"low","19:100",0,"low",""
8,0.166666666666667,"median","61:51",0.383333333333333,"median","61:51",0.266666666666667,"median","61:51",0.283333333333333,"median","61:51",0.383333333333333,"median","61:51",0.25,"median","62:51",0.383333333333333,"median","61:51",0.316666666666667,"median","61:51",0.333333333333333,"median","61:51",0.233333333333333,"median","61:51",0.216666666666667,"median","61:51",0.166666666666667,"median","61:51"
9,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
10,85.85,"high","41:50",87.0666666666667,"high","41:50",88.0666666666667,"high","41:50",88.6333333333333,"high","41:50",97.2333333333333,"high","41:50",116.6,"high","41:50",131.233333333333,"high","41:50",130.9,"high","41:50",130.4,"high","41:50",123.2,"high","41:50",118.133333333333,"high","41:50",90.2666666666667,"high","41:50"
11,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
12,6.35,"median","71:60",7.93333333333333,"median","71:60",8.1,"median","71:60",8.73333333333333,"median","71:60",8.91666666666667,"median","71:60",9.68333333333333,"median","71:60",11.0666666666667,"median","60:54",11.1833333333333,"median","60:54",11.05,"median","60:54",11.8166666666667,"median","60:54",11.5666666666667,"median","71:60",9.46666666666667,"median","71:60"
13,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
14,26.15,"high","22:47",27.6833333333333,"high","22:47",27.15,"high","22:47",24.65,"high","22:47",25.3833333333333,"high","22:47",27.5,"high","22:47",28.75,"high","22:47",25.1833333333333,"high","22:47",24.7,"high","22:52",24.5,"high","22:47",22.1166666666667,"high","22:47",17.6833333333333,"high","22:47"
